mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06391215324401855,0.008989763801020926,0.013535213470458985,0.003853799403524736,1,CountVectorizer(),1000,"{'classifier__alpha': 1, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8782098312545855,0.8943506969919296,0.8620689655172413,0.8774761555392516,0.8979441997063142,0.8820099698018644,0.01295247780815099,3,0.9020363236103467,0.8950651256650156,0.8972665565951201,0.8910291689598239,0.8947175348495965,0.8960229419359805,0.00361293799530324
0.05059947967529297,0.011957189072851367,0.010262298583984374,0.008592221854560942,1,CountVectorizer(),1500,"{'classifier__alpha': 1, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8818782098312545,0.8899486426999267,0.8664710198092443,0.8767424798239178,0.8935389133627019,0.881715853105409,0.009640843553201186,4,0.90442120711796,0.9002017978352596,0.9009356081452944,0.8939644101999633,0.8972853998532648,0.8993616846303485,0.0035276996182512905
0.07114500999450683,0.01166398352151447,0.017290830612182617,0.0020980120289074682,1,CountVectorizer(),2000,"{'classifier__alpha': 1, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8826118855465884,0.8892149669845928,0.8686720469552458,0.8774761555392516,0.8935389133627019,0.8823027936776761,0.008754630261922438,2,0.9073564483580995,0.9040543019629426,0.9025866813428729,0.8981838194826637,0.9005869405722671,0.9025536383437691,0.0031075161841817153
0.08501381874084472,0.009955878919142644,0.011555337905883789,0.004796999710895217,1,CountVectorizer(),5000,"{'classifier__alpha': 1, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8811445341159208,0.888481291269259,0.8694057226705796,0.880410858400587,0.895741556534508,0.8830367925981708,0.008801543414675699,1,0.9075399009356081,0.9042377545404513,0.9040543019629426,0.9014859658778206,0.902971386647102,0.9040578619927849,0.0019976009363634685
0.07770161628723145,0.006176661726871323,0.014489412307739258,0.006402516222954182,1,TfidfVectorizer(),1000,"{'classifier__alpha': 1, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8796771826852531,0.8833455612619222,0.8686720469552458,0.8774761555392516,0.8847283406754772,0.87877985742343,0.0056727906400599526,5,0.899284534947716,0.8963492937075765,0.8981838194826637,0.8961658411300679,0.8930667644900954,0.8966100507516238,0.002118952934304345
0.08263683319091797,0.002118058399378511,0.018332672119140626,0.0019126701946039991,1,TfidfVectorizer(),1500,"{'classifier__alpha': 1, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8760088041085841,0.880410858400587,0.8701393983859135,0.8708730741012473,0.8788546255506607,0.8752573521093986,0.004134707423267156,6,0.8987341772151899,0.8972665565951201,0.8970831040176115,0.8961658411300679,0.8934336023477623,0.8965366562611503,0.0017565252883090677
0.09013962745666504,0.00790425151998196,0.01640806198120117,0.005726161250951464,1,TfidfVectorizer(),2000,"{'classifier__alpha': 1, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8723404255319149,0.8745414526779164,0.863536316947909,0.8642699926632429,0.8737151248164464,0.869680662527486,0.004775077739019326,7,0.8983672720601724,0.8921298844248762,0.8985507246376812,0.894147862777472,0.8930667644900954,0.8952525016780595,0.0026954955718784574
0.09583458900451661,0.006471944786947809,0.015629959106445313,0.009075667685344714,1,TfidfVectorizer(),5000,"{'classifier__alpha': 1, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8628026412325752,0.8686720469552458,0.8591342626559061,0.8569332355099046,0.869309838472834,0.863370404965293,0.004961626469195047,8,0.8972665565951201,0.8899284534947716,0.8934140524674372,0.8906622638048065,0.8893983859134262,0.8921339424551122,0.00291532841205154
0.06049423217773438,0.01060343787680065,0.015334272384643554,0.006512888868302357,10,CountVectorizer(),1000,"{'classifier__alpha': 10, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.863536316947909,0.8525311812179017,0.8459280997798972,0.8488628026412326,0.8649045521292217,0.8551525905432324,0.0077059985952374985,9,0.8660796184186388,0.8647954503760777,0.8666299761511649,0.8644285452210604,0.8613352898019075,0.8646537759937699,0.0018450769533980252
0.05902752876281738,0.004140150508155105,0.012569379806518555,0.0016504712379275446,10,CountVectorizer(),1500,"{'classifier__alpha': 10, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8547322083639032,0.8407923697725606,0.8393250183418929,0.8371239911958914,0.8509544787077826,0.8445856132764062,0.00694628243263286,10,0.8541552008805724,0.8547055586130985,0.8592918730508163,0.8554393689231333,0.8508804108584006,0.8548944824652043,0.0026955127735657923
0.06129193305969238,0.0049998110380456776,0.013050699234008789,0.00510068119515567,10,CountVectorizer(),2000,"{'classifier__alpha': 10, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8444607483492297,0.8327219369038885,0.8371239911958914,0.8283198826118855,0.8406754772393539,0.8366604072600499,0.00569661159400612,11,0.8475509080902587,0.8440653091175931,0.8532379379930288,0.8481012658227848,0.8424431401320617,0.8470797122311454,0.0037356062098020115
0.06901035308837891,0.01362787226583979,0.01401224136352539,0.004335086082841603,10,CountVectorizer(),5000,"{'classifier__alpha': 10, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8305209097578871,0.826118855465884,0.8283198826118855,0.8158473954512105,0.8245227606461086,0.8250659607865952,0.0050344826142425724,12,0.8381948266373143,0.8365437534397359,0.8433314988075582,0.8396624472573839,0.8334556126192223,0.8382376277522429,0.0032776925970828233
0.05640721321105957,0.009025976545338772,0.019031715393066407,0.002214151112279092,10,TfidfVectorizer(),1000,"{'classifier__alpha': 10, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.805575935436537,0.8033749082905356,0.805575935436537,0.8019075568598679,0.8054331864904553,0.8043735045027866,0.0014894763098893245,13,0.8051733626857457,0.8048064575307283,0.8057237204182719,0.8051733626857457,0.8042920029347028,0.8050337812510389,0.00047262948547757683
0.05847010612487793,0.0060429150131300026,0.009973669052124023,0.007876287640984123,10,TfidfVectorizer(),1500,"{'classifier__alpha': 10, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8019075568598679,0.8004402054292002,0.8048422597212033,0.7997065297138665,0.802496328928047,0.801878576130437,0.0017862012617688855,14,0.8020546688680976,0.8020546688680976,0.8016877637130801,0.802421574023115,0.8019075568598679,0.8020252464664516,0.0002393960483921997
0.09727139472961426,0.022081666897363992,0.020088863372802735,0.00820093486890468,10,TfidfVectorizer(),2000,"{'classifier__alpha': 10, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8019075568598679,0.8004402054292002,0.7989728539985327,0.7997065297138665,0.802496328928047,0.8007046949859029,0.001320786940571511,15,0.8016877637130801,0.8016877637130801,0.7996697853604843,0.8022381214456064,0.8011738811445341,0.801291463075357,0.0008779447114999403
0.12567601203918458,0.014410550659942028,0.031501054763793945,0.009899420898446497,10,TfidfVectorizer(),5000,"{'classifier__alpha': 10, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8019075568598679,0.8004402054292002,0.7989728539985327,0.7997065297138665,0.7995594713656388,0.8001173234734212,0.001009846443902657,16,0.8015043111355714,0.8015043111355714,0.7994863327829757,0.8018712162905889,0.7993396918561996,0.8007411726401813,0.001093666387269993
